"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"985","NC_013385.1","lcl|NC_013385.1_prot_WP_049757157.1_1515","-","NOG.COG0094.clustalo_raw","-",4e-56,187.9,0.1,4.5e-56,187.7,0.1,1,1,0,0,1,1,1,1,"Ammonifex degensii KC4, complete genome","Ammonifex degensii KC4","Ammonifex degensii ","Y","57","Ammonifex","degensii","GCF_000024605.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"999","NC_013406.1","lcl|NC_013406.1_prot_WP_007132558.1_5643","-","NOG.COG0094.clustalo_raw","-",4.1e-55,186.1,0.3,4.6e-55,185.9,0.3,1,1,0,0,1,1,1,1,"Paenibacillus sp. Y412MC10, complete genome","Paenibacillus sp. Y412MC10","Paenibacillus sp. Y412MC10","Y","99","Paenibacillus","sp. Y412MC10","GCF_000024685.1","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"1014","NC_013504.1","lcl|NC_013504.1_prot_WP_004895859.1_297","-","NOG.COG0094.clustalo_raw","-",3.1e-54,181.3,0.1,3.7e-54,181.1,0.1,1,1,0,0,1,1,1,1,"Lactobacillus johnsonii FI9785, complete genome","Lactobacillus johnsonii FI9785","Lactobacillus johnsonii ","N","11","Lactobacillus","johnsonii","GCF_000091405.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1031","NC_013520.1","lcl|NC_013520.1_prot_WP_004695119.1_1468","-","NOG.COG0094.clustalo_raw","-",4.3e-55,184.3,0.2,4.6e-55,184.2,0.2,1,1,0,0,1,1,1,1,"Veillonella parvula DSM 2008, complete genome","Veillonella parvula DSM 2008","Veillonella parvula ","N","13","Veillonella","parvula","GCF_000024945.1","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae"
"1043","NC_013740.1","lcl|NC_013740.1_prot_WP_012939250.1_1907","-","NOG.COG0094.clustalo_raw","-",6.2e-55,183.9,0.2,7.3e-55,183.7,0.2,1,1,0,0,1,1,1,1,"Acidaminococcus fermentans DSM 20731, complete genome","Acidaminococcus fermentans DSM 20731","Acidaminococcus fermentans ","N","23","Acidaminococcus","fermentans","GCF_000025305.1","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae"
"1057","NC_013791.2","lcl|NC_013791.2_prot_WP_012957148.1_129","-","NOG.COG0094.clustalo_raw","-",1.3e-56,190.4,0.3,1.4e-56,190.3,0.3,1,1,0,0,1,1,1,1,"Bacillus pseudofirmus OF4, complete genome","Bacillus pseudofirmus OF4","Bacillus pseudofirmus ","Y","92","Bacillus","pseudofirmus","GCF_000005825.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1071","NC_013895.2","lcl|NC_013895.2_prot_WP_012992841.1_183","-","NOG.COG0094.clustalo_raw","-",6.6e-54,180.1,0.2,7.9e-54,179.8,0.2,1,1,0,0,1,1,1,1,"Mageeibacillus indolicus UPII9-5, complete genome","Mageeibacillus indolicus UPII9-5","Clostridiales genomosp. BVAB3","N","8","Mageeibacillus","indolicus","GCF_000025225.2","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"1085","NC_013921.1","lcl|NC_013921.1_prot_WP_012995900.1_1938","-","NOG.COG0094.clustalo_raw","-",3e-58,195,0.2,3.3e-58,194.9,0.2,1,1,0,0,1,1,1,1,"Thermoanaerobacter italicus Ab9, complete genome","Thermoanaerobacter italicus Ab9","Thermoanaerobacter italicus ","Y","65","Thermoanaerobacter","italicus","GCF_000025645.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"1112","NC_014098.1","lcl|NC_014098.1_prot_WP_013074236.1_163","-","NOG.COG0094.clustalo_raw","-",4.4e-54,181.7,0,5.1e-54,181.5,0,1,1,0,0,1,1,1,1,"Kyrpidia tusciae DSM 2912, complete genome","Kyrpidia tusciae DSM 2912","Kyrpidia tusciae ","Y","83","Kyrpidia","tusciae","GCF_000092905.1","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae"
"1113","NC_014103.1","lcl|NC_014103.1_prot_WP_013054939.1_119","-","NOG.COG0094.clustalo_raw","-",1.2e-55,187.6,0.3,1.4e-55,187.4,0.3,1,1,0,0,1,1,1,1,"Bacillus megaterium DSM319, complete genome","Bacillus megaterium DSM319","Bacillus megaterium ","Y","125","Bacillus","megaterium","GCF_000025805.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1127","NC_014106.1","lcl|NC_014106.1_prot_WP_005720346.1_300","-","NOG.COG0094.clustalo_raw","-",6.6e-54,180.4,0,7.7e-54,180.2,0,1,1,0,0,1,1,1,1,"Lactobacillus crispatus ST1 complete genome, strain ST1","Lactobacillus crispatus ST1","Lactobacillus crispatus ","N","16","Lactobacillus","crispatus","GCF_000091765.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1142","NC_014152.1","lcl|NC_014152.1_prot_WP_013119219.1_310","-","NOG.COG0094.clustalo_raw","-",3.6e-58,195.1,0.1,4.1e-58,194.9,0.1,1,1,0,0,1,1,1,1,"Thermincola potens JR, complete genome","Thermincola potens JR","Thermincola potens ","Y","73","Thermincola","potens","GCF_000092945.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"1168","NC_014219.1","lcl|NC_014219.1_prot_WP_013171106.1_127","-","NOG.COG0094.clustalo_raw","-",5.3e-58,194.7,0.3,5.7e-58,194.6,0.3,1,1,0,0,1,1,1,1,"[Bacillus] selenitireducens MLS10, complete genome","Bacillus selenitireducens MLS10","Bacillus selenitireducens ","N","28","Bacillus","selenitireducens","GCF_000093085.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1173","NC_014220.1","lcl|NC_014220.1_prot_WP_013176368.1_2179","-","NOG.COG0094.clustalo_raw","-",2.4e-57,192.1,0.2,2.7e-57,191.9,0.2,1,1,0,0,1,1,1,1,"Syntrophothermus lipocalidus DSM 12680, complete genome","Syntrophothermus lipocalidus DSM 12680","Syntrophothermus lipocalidus ","Y","55","Syntrophothermus","lipocalidus","GCF_000092405.1","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae"
"1199","NC_014319.1","lcl|NC_014319.1_prot_WP_010391489.1_1698","-","NOG.COG0094.clustalo_raw","-",9.1e-52,173.3,0.1,1e-51,173.1,0.1,1,1,0,0,1,1,1,1,"Leuconostoc gasicomitatum LMG 18811 complete genome, type strain LMG 18811T","Leuconostoc gasicomitatum LMG 18811","Leuconostoc gasicomitatum ","N","11","Leuconostoc","gasicomitatum","GCF_000196855.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"1201","NC_014376.1","lcl|NC_014376.1_prot_WP_013274328.1_3728","-","NOG.COG0094.clustalo_raw","-",5.2e-57,191.8,0.4,6.1e-57,191.6,0.4,1,1,0,0,1,1,1,1,"Clostridium saccharolyticum WM1, complete genome","Clostridium saccharolyticum WM1","Clostridium saccharolyticum ","Y","57","Clostridium","saccharolyticum","GCF_000144625.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1219","NC_014377.1","lcl|NC_014377.1_prot_WP_013274974.1_134","-","NOG.COG0094.clustalo_raw","-",7e-58,193.8,0.1,7.7e-58,193.6,0.1,1,1,0,0,1,1,1,1,"Thermosediminibacter oceani DSM 16646, complete genome","Thermosediminibacter oceani DSM 16646","Thermosediminibacter oceani ","Y","61","Thermosediminibacter","oceani","GCF_000144645.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"1230","NC_014378.1","lcl|NC_014378.1_prot_WP_013277171.1_175","-","NOG.COG0094.clustalo_raw","-",1.3e-53,179.7,0.1,1.5e-53,179.5,0.1,1,1,0,0,1,1,1,1,"Acetohalobium arabaticum DSM 5501, complete genome","Acetohalobium arabaticum DSM 5501","Acetohalobium arabaticum ","Y","61","Acetohalobium","arabaticum","GCF_000144695.1","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae"
"1244","NC_014387.1","lcl|NC_014387.1_prot_WP_013280008.1_597","-","NOG.COG0094.clustalo_raw","-",1e-59,200.6,0.1,1.2e-59,200.3,0.1,1,1,0,0,1,1,1,1,"Butyrivibrio proteoclasticus B316 chromosome 1, complete sequence","Butyrivibrio proteoclasticus B316","Butyrivibrio proteoclasticus ","N","24","Butyrivibrio","proteoclasticus","GCF_000145035.1","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"1258","NC_014393.1","lcl|NC_014393.1_prot_WP_010073730.1_3664","-","NOG.COG0094.clustalo_raw","-",8.3e-55,184.5,0.6,9.2e-55,184.4,0.6,1,1,0,0,1,1,1,1,"Clostridium cellulovorans 743B, complete genome","Clostridium cellulovorans 743B","Clostridium cellulovorans ","Y","64","Clostridium","cellulovorans","GCF_000145275.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1274","NC_014614.1","lcl|NC_014614.1_prot_WP_013362398.1_2123","-","NOG.COG0094.clustalo_raw","-",2.3e-55,185.6,0.5,2.5e-55,185.5,0.5,1,1,0,0,1,1,1,1,"Clostridium sticklandii str. DSM 519 chromosome, complete genome","Clostridium sticklandii str. DSM 519","Clostridium sticklandii","N","23","Clostridium","sticklandii","GCF_000196455.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1288","NC_014622.2","lcl|NC_014622.2_prot_WP_007432571.1_4409","-","NOG.COG0094.clustalo_raw","-",2.3e-54,183.4,0.3,2.6e-54,183.3,0.3,1,1,0,0,1,1,1,1,"Paenibacillus polymyxa SC2, complete genome","Paenibacillus polymyxa SC2","Paenibacillus polymyxa ","Y","90","Paenibacillus","polymyxa","GCF_000164985.3","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"1306","NC_014624.2","lcl|NC_014624.2_prot_WP_013382274.1_3519","-","NOG.COG0094.clustalo_raw","-",1.5e-50,170.4,0.1,1.7e-50,170.2,0.1,1,1,0,0,1,1,1,1,"Eubacterium callanderi strain KIST612, complete genome","Eubacterium callanderi strain KIST612",NA,"N","NaN","Eubacterium","callanderi","GCF_000152245.2","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"1320","NC_014650.1","lcl|NC_014650.1_prot_WP_003247587.1_121","-","NOG.COG0094.clustalo_raw","-",4.9e-57,191.8,0.2,5.3e-57,191.6,0.2,1,1,0,0,1,1,1,1,"Geobacillus sp. Y4.1MC1, complete genome","Geobacillus sp. Y4.1MC1","Geobacillus sp. Y4.1MC1","Y","107","Geobacillus","sp. Y4.1MC1","GCF_000166075.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1331","NC_014654.1","NC_014654.1_cds_WP_013406398.1_1889_1","-","NOG.COG0094.clustalo_raw","-",4.2e-50,168.1,0,5e-50,167.9,0,1,1,0,0,1,1,1,1,"Halanaerobium hydrogeniformans, complete genome","Halanaerobium hydrogeniformans","Halanaerobium hydrogeniformans","N","24","Halanaerobium","hydrogeniformans","GCF_000166415.1","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae"
"1357","NC_014720.1","lcl|NC_014720.1_prot_WP_013290162.1_971","-","NOG.COG0094.clustalo_raw","-",6.9e-56,187.4,0.1,7.4e-56,187.3,0.1,1,1,0,0,1,1,1,1,"Caldicellulosiruptor kronotskyensis 2002, complete genome","Caldicellulosiruptor kronotskyensis 2002","Caldicellulosiruptor kronotskyensis ","Y","47","Caldicellulosiruptor","kronotskyensis","GCF_000166775.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"1359","NC_014828.1","lcl|NC_014828.1_prot_WP_013484345.1_385","-","NOG.COG0094.clustalo_raw","-",3.8e-53,178.5,0.2,4.2e-53,178.3,0.2,1,1,0,0,1,1,1,1,"Ethanoligenens harbinense YUAN-3, complete genome","Ethanoligenens harbinense YUAN-3","Ethanoligenens harbinense ","Y","55","Ethanoligenens","harbinense","GCF_000178115.2","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"1373","NC_014829.1","lcl|NC_014829.1_prot_WP_013486767.1_133","-","NOG.COG0094.clustalo_raw","-",1.1e-57,194,0.5,1.2e-57,193.9,0.5,1,1,0,0,1,1,1,1,"Bacillus cellulosilyticus DSM 2522, complete genome","Bacillus cellulosilyticus DSM 2522","Bacillus cellulosilyticus ","Y","99","Bacillus","cellulosilyticus","GCF_000177235.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1388","NC_014831.1","lcl|NC_014831.1_prot_WP_013496657.1_2274","-","NOG.COG0094.clustalo_raw","-",4.4e-54,181.3,0,5e-54,181.1,0,1,1,0,0,1,1,1,1,"Thermaerobacter marianensis DSM 12885, complete genome","Thermaerobacter marianensis DSM 12885","Thermaerobacter marianensis ","Y","52","Thermaerobacter","marianensis","GCF_000184705.1","Firmicutes","Clostridia","Clostridiales","Clostridiales"
"1405","NC_014833.1","lcl|NC_014833.1_prot_WP_013496809.1_50","-","NOG.COG0094.clustalo_raw","-",6.9e-49,164.9,0.1,7.4e-49,164.8,0.1,1,1,0,0,1,1,1,1,"Ruminococcus albus 7, complete genome","Ruminococcus albus 7","Ruminococcus albus ","Y","47","Ruminococcus","albus","GCF_000179635.2","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"1420","NC_015172.1","lcl|NC_015172.1_prot_WP_013623641.1_397","-","NOG.COG0094.clustalo_raw","-",1.5e-53,180,0,1.6e-53,179.9,0,1,1,0,0,1,1,1,1,"Syntrophobotulus glycolicus DSM 8271, complete genome","Syntrophobotulus glycolicus DSM 8271","Syntrophobotulus glycolicus ","Y","65","Syntrophobotulus","glycolicus","GCF_000190635.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"1431","NC_015275.1","NC_015275.1_cds_WP_013658494.1_3417_1","-","NOG.COG0094.clustalo_raw","-",1.9e-59,199.8,0.5,2e-59,199.7,0.5,1,1,0,0,1,1,1,1,"Clostridium lentocellum DSM 5427, complete genome","Clostridium lentocellum DSM 5427","Clostridium lentocellum ","Y","56","Clostridium","lentocellum","GCF_000178835.2","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1445","NC_015278.1","lcl|NC_015278.1_prot_WP_013669078.1_472","-","NOG.COG0094.clustalo_raw","-",3e-55,184.8,0.1,3.5e-55,184.6,0.1,1,1,0,0,1,1,1,1,"Aerococcus urinae ACS-120-V-Col10a, complete genome","Aerococcus urinae ACS-120-V-Col10a","Aerococcus urinae ","N","12","Aerococcus","urinae","GCF_000193205.1","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae"
"1471","NC_015425.1","lcl|NC_015425.1_prot_WP_013724460.1_235","-","NOG.COG0094.clustalo_raw","-",9.3e-60,200.3,0.6,1e-59,200.2,0.6,1,1,0,0,1,1,1,1,"Clostridium botulinum BKT015925, complete genome","Clostridium botulinum BKT015925","Clostridium botulinum BKT015925","Y","60","Clostridium","botulinum","GCF_000204565.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1474","NC_015428.1","lcl|NC_015428.1_prot_WP_013728493.1_1710","-","NOG.COG0094.clustalo_raw","-",6.6e-53,177.5,0,7.1e-53,177.4,0,1,1,0,0,1,1,1,1,"Lactobacillus buchneri NRRL B-30929, complete genome","Lactobacillus buchneri NRRL B-30929","Lactobacillus buchneri ","N","14","Lactobacillus","buchneri","GCF_000211375.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1489","NC_015437.1","lcl|NC_015437.1_prot_WP_006191739.1_1495","-","NOG.COG0094.clustalo_raw","-",1.8e-52,175.9,0.1,2e-52,175.8,0.1,1,1,0,0,1,1,1,1,"Selenomonas sputigena ATCC 35185, complete genome","Selenomonas sputigena ATCC 35185","Selenomonas sputigena ","N","23","Selenomonas","sputigena","GCF_000208405.1","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae"
"1503","NC_015516.1","lcl|NC_015516.1_prot_WP_013773078.1_133","-","NOG.COG0094.clustalo_raw","-",3.6e-55,184.4,0.1,3.9e-55,184.3,0.1,1,1,0,0,1,1,1,1,"Melissococcus plutonius ATCC 35311 DNA, complete genome","Melissococcus plutonius ATCC 35311 DNA","Melissococcus plutonius ","N","16","Melissococcus","plutonius","GCF_000270185.1","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"1517","NC_015519.1","lcl|NC_015519.1_prot_WP_013777334.1_202","-","NOG.COG0094.clustalo_raw","-",2.3e-54,182.4,0.1,2.5e-54,182.3,0.1,1,1,0,0,1,1,1,1,"Tepidanaerobacter acetatoxydans Re1, complete genome","Tepidanaerobacter acetatoxydans Re1","Tepidanaerobacter acetatoxydans ","Y","61","Tepidanaerobacter","acetatoxydans","GCF_000213235.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"1531","NC_015520.1","lcl|NC_015520.1_prot_WP_013781744.1_2111","-","NOG.COG0094.clustalo_raw","-",2.7e-52,175.7,0.1,3.1e-52,175.5,0.1,1,1,0,0,1,1,1,1,"Mahella australiensis 50-1 BON, complete genome","Mahella australiensis 50-1 BON","Mahella australiensis ","Y","60","Mahella","australiensis","GCF_000213255.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"1545","NC_015558.1","lcl|NC_015558.1_prot_WP_003104667.1_61","-","NOG.COG0094.clustalo_raw","-",1.1e-53,179.9,0.1,1.2e-53,179.8,0.1,1,1,0,0,1,1,1,1,"Streptococcus parauberis KCTC 11537, complete genome","Streptococcus parauberis KCTC 11537","Streptococcus parauberis ","N","14","Streptococcus","parauberis","GCF_000213825.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"1563","NC_015565.1","lcl|NC_015565.1_prot_WP_003544725.1_228","-","NOG.COG0094.clustalo_raw","-",2.2e-55,185.8,0.1,2.4e-55,185.7,0.1,1,1,0,0,1,1,1,1,"Desulfotomaculum nigrificans CO-1-SRB, complete genome","Desulfotomaculum nigrificans CO-1-SRB","Desulfotomaculum carboxydivorans ","Y","72","Desulfotomaculum","nigrificans","GCF_000214435.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"1574","NC_015589.1","lcl|NC_015589.1_prot_WP_013840383.1_310","-","NOG.COG0094.clustalo_raw","-",1.3e-53,180.4,0.3,1.4e-53,180.4,0.3,1,1,0,0,1,1,1,1,"Desulfotomaculum ruminis DSM 2154, complete genome","Desulfotomaculum ruminis DSM 2154","Desulfotomaculum ruminis ","Y","79","Desulfotomaculum","ruminis","GCF_000215085.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"1589","NC_015601.1","lcl|NC_015601.1_prot_WP_003775209.1_1137","-","NOG.COG0094.clustalo_raw","-",2.8e-56,188,0.4,3.3e-56,187.8,0.4,1,1,0,0,1,1,1,1,"Erysipelothrix rhusiopathiae str. Fujisawa DNA, complete genome","Erysipelothrix rhusiopathiae str. Fujisawa","Erysipelothrix rhusiopathiae ","N","13","Erysipelothrix","rhusiopathiae","GCF_000270085.1","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"1604","NC_015602.1","lcl|NC_015602.1_prot_WP_013853506.1_8","-","NOG.COG0094.clustalo_raw","-",4.9e-53,177.8,0,5.8e-53,177.5,0,1,1,0,0,1,1,1,1,"Lactobacillus kefiranofaciens ZW3, complete genome","Lactobacillus kefiranofaciens ZW3","Lactobacillus kefiranofaciens ","N","10","Lactobacillus","kefiranofaciens","GCF_000214785.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1619","NC_015690.1","lcl|NC_015690.1_prot_WP_013921149.1_6730","-","NOG.COG0094.clustalo_raw","-",1.1e-56,191.5,0.3,1.2e-56,191.3,0.3,1,1,0,0,1,1,1,1,"Paenibacillus mucilaginosus KNP414, complete genome","Paenibacillus mucilaginosus KNP414","Paenibacillus mucilaginosus","Y","103","Paenibacillus","mucilaginosus","GCF_000218915.1","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"1633","NC_015697.1","lcl|NC_015697.1_prot_WP_003668784.1_553","-","NOG.COG0094.clustalo_raw","-",5.3e-53,177.6,0,5.9e-53,177.5,0,1,1,0,0,1,1,1,1,"Lactobacillus reuteri SD2112, complete genome","Lactobacillus reuteri SD2112","Lactobacillus reuteri ","N","14","Lactobacillus","reuteri","GCF_000159455.2","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1647","NC_015734.1","lcl|NC_015734.1_prot_WP_013103446.1_1086","-","NOG.COG0094.clustalo_raw","-",5.8e-52,173.9,0.1,6.7e-52,173.7,0.1,1,1,0,0,1,1,1,1,"Leuconostoc sp. C2, complete genome","Leuconostoc sp. C2","Leuconostoc sp. C2","N","13","Leuconostoc","sp. C2","GCF_000219785.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"1661","NC_015737.1","lcl|NC_015737.1_prot_WP_013977730.1_1778","-","NOG.COG0094.clustalo_raw","-",1.8e-58,195.9,0.3,2e-58,195.8,0.3,1,1,0,0,1,1,1,1,"Clostridium sp. SY8519 DNA, complete genome","Clostridium sp. SY8519","Clostridium sp. SY8519","N","18","Clostridium","sp. SY8519","GCF_000270305.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1675","NC_015759.1","lcl|NC_015759.1_prot_WP_006845964.1_517","-","NOG.COG0094.clustalo_raw","-",5.5e-54,180.2,0.1,5.9e-54,180,0.1,1,1,0,0,1,1,1,1,"Weissella koreensis KACC 15510, complete genome","Weissella koreensis KACC 15510","Weissella koreensis ","N","14","Weissella","koreensis","GCF_000219805.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"1690","NC_015975.1","NC_015975.1_cds_WP_003692959.1_303_1","-","NOG.COG0094.clustalo_raw","-",3.7e-52,174.7,0.2,4.1e-52,174.6,0.2,1,1,0,0,1,1,1,1,"Lactobacillus ruminis ATCC 27782, complete genome","Lactobacillus ruminis ATCC 27782","Lactobacillus ruminis ","N","15","Lactobacillus","ruminis","GCF_000224985.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1704","NC_015977.1","lcl|NC_015977.1_prot_WP_014080981.1_2829","-","NOG.COG0094.clustalo_raw","-",2.4e-58,195.8,0.7,2.7e-58,195.7,0.7,1,1,0,0,1,1,1,1,"Roseburia hominis A2-183, complete genome","Roseburia hominis A2-183","Roseburia hominis ","Y","57","Roseburia","hominis","GCF_000225345.1","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"1718","NC_015978.1","lcl|NC_015978.1_prot_WP_014082366.1_1070","-","NOG.COG0094.clustalo_raw","-",1e-53,179.3,0,1.2e-53,179,0,1,1,0,0,1,1,1,1,"Lactobacillus sanfranciscensis TMW 1.1304, complete genome","Lactobacillus sanfranciscensis TMW 1.1304","Lactobacillus sanfranciscensis ","N","13","Lactobacillus","sanfranciscensis","GCF_000225325.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1732","NC_016012.1","lcl|NC_016012.1_prot_WP_083833000.1_1251","-","NOG.COG0094.clustalo_raw","-",3.3e-56,187.5,0.7,3.6e-56,187.4,0.7,1,1,0,0,1,1,1,1,"Candidatus Arthromitus sp. SFB-rat-Yit DNA, complete genome","Candidatus Arthromitus sp. SFB-rat-Yit","Candidatus Arthromitus sp. SFB-rat","Y","45","Arthromitus","sp. SFB-rat-Yit","GCF_000283555.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1749","NC_016023.1","lcl|NC_016023.1_prot_WP_014096495.1_1169","-","NOG.COG0094.clustalo_raw","-",2.5e-56,189.2,0.2,2.8e-56,189,0.2,1,1,0,0,1,1,1,1,"Bacillus coagulans 36D1, complete genome","Bacillus coagulans 36D1","Bacillus coagulans ","Y","98","Bacillus","coagulans","GCF_000169195.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1760","NC_016048.1","lcl|NC_016048.1_prot_WP_014116869.1_901","-","NOG.COG0094.clustalo_raw","-",1.2e-55,187.4,0.1,1.3e-55,187.3,0.1,1,1,0,0,1,1,1,1,"Oscillibacter valericigenes Sjm18-20 DNA, complete genome","Oscillibacter valericigenes Sjm18-20","Oscillibacter valericigenes ","Y","49","Oscillibacter","valericigenes","GCF_000283575.1","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae"
"1788","NC_016077.1","lcl|NC_016077.1_prot_WP_009015377.1_2215","-","NOG.COG0094.clustalo_raw","-",3.4e-53,178.3,0.1,3.7e-53,178.2,0.1,1,1,0,0,1,1,1,1,"Acidaminococcus intestini RyC-MR95, complete genome","Acidaminococcus intestini RyC-MR95","Acidaminococcus intestini ","N","17","Acidaminococcus","intestini","GCF_000230275.1","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae"
